movie_name,message_id,date,video_path,quality,size,language,channel_type,channel_id,channel_username
The Taj Story 2025,8,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,9,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,10,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,11,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,12,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,20,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,21,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,22,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,23,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,24,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,25,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,26,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,27,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,28,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,29,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,30,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,31,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),32,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),33,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),34,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),35,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,36,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,37,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,38,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,39,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Border 2 2026,41,09-03-2026,,HD,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
